Univ,Anho, Presupuesto 
UNAMIS,2024, 13264478390 
UPTP,2024, 12950422509 
UNICAN,2024, 38443474494 
UNCA,2024, 74170911135 
UNVES,2024, 66031485411 
UNC,2024, 66168808425 
UNI,2024, 83523321900 
UNP,2024, 62707858076 
UNE,2024, 136290496491 
UNA,2024, 1617699827551 
UNAMIS,2023, 12000000000 
UPTP,2023, 11718757152 
UNICAN,2023, 37582605722 
UNCA,2023, 71399314279 
UNVES,2023, 64209475326 
UNC,2023, 63297442922 
UNI,2023, 81741672263 
UNA,2023, 1589647804252 
UNE,2023, 133014176993 
UNP,2023, 61065743853 
UNA,2022, 1496235014763 
UNE,2022, 123299983002 
UNP,2022, 55484087489 
UNI,2022, 72379498743 
UNC,2022, 55507519000 
UNVES,2022, 56637515088 
UNCA,2022, 64228108723 
UNICAN,2022, 30942024276 
UPTP,2022, 6582460861 
UNA,2021, 1442737085341 
UNE,2021, 118537859714 
UNP,2021, 54966811606 
UNI,2021, 68224813107 
UNC,2021, 52969743061 
UNCA,2021, 61996517096 
UNICAN,2021, 29620176463 
UPTP,2021, 4162680038 
UNA,2020, 1483962481983 
UNE,2020, 119924970598 
UNP,2020, 54945797749 
UNI,2020, 66665337363 
UNC,2020, 50780981883 
UNVES,2020, 55311494620 
UNCA,2020, 61933776509 
UNICAN,2020, 30484141560 
UPTP,2020, 5924449127 
UNA,2019, 1411533292371 
UNE,2019, 117934981004 
UNP,2019, 54686178685 
UNI,2019, 68149102897 
UNC,2019, 48516729067 
UNVES,2019, 54170352366 
UNCA,2019, 60122551262 
UNICAN,2019, 28068566732 
UNA,2018, 1335792395555 
UNE,2018, 112650463675 
UNP,2018, 51807550936 
UNI,2018, 64157047599 
UNC,2018, 43248311433 
UNVES,2018, 51742854224 
UNCA,2018, 55148094491 
UNICAN,2018, 23982319862 
UNA,2017, 1287885028796 
UNE,2017, 111613441275 
UNP,2017, 48499860743 
UNI,2017, 67013930766 
UNC,2017, 43331772368 
UNVES,2017, 48013035499 
UNCA,2017, 53493030383 
UNICAN,2017, 23372463400 
UNA,2016, 1250015099565 
UNE,2016, 109666824078 
UNP,2016, 48499860743 
UNI,2016, 64639644766 
UNC,2016, 42931711217 
UNCA,2016, 53493030683 
UNICAN,2016, 22918320450 
